id,name,nickname,review_content,rating,write_date
y_7_001,전주 투썸스테이-서신점,서켜나,"전주 투썸스테이 서신점 호텔은 숙소 선택에서 가장 중요하게 생각하는 침대와 침구류 면에서 큰 만족을 주었습니다. 포근하면서도 탄탄한 매트리스는 하루의 피로를 말끔히 풀어주기에 충분했고, 부드럽고 청결한 침구는 숙면을 취하기에 최적의 환경을 제공했습니다. 무엇보다 침대에 누웠을 때 느껴지는 편안함이 인상 깊었으며, 이 부분이 투숙 내내 가장 마음에 들었던 점이었습니다. 객실 내에는 스타일러가 구비되어 있어 옷 관리가 수월했고, 고급 드라이기까지 마련되어 있어 세심한 배려가 느껴졌습니다. 욕실 또한 깔끔하게 잘 갖춰져 있어 전반적인 숙소 만족도를 더욱 높여주었습니다. 아침에는 간편식으로 조식이 제공되는데, 직접 샌드위치를 만들어 먹을 수 있어 간단하면서도 알찬 식사를 할 수 있었고, 따뜻한 라면도 준비되어 있어 든든하게 하루를 시작할 수 있었습니다. 전체적으로 편안한 잠자리와 깔끔한 시설, 실용적인 조식 구성까지 만족스러운 숙박 경험이었습니다.",5,2개월 전
y_7_002,전주 투썸스테이-서신점,improsper2,"전국을 돌아다니는 업무상 모델 숙소에서의 1박은 매우 만족스러웠습니다. 침대는 푹신하면서도 탄탄해 깊은 숙면을 도왔고, 화장실은 물때 없이 깔끔하게 정돈되어 있었습니다. 수건과 물도 넉넉히 준비되어 있었고, TV는 대형 화면에 다양한 채널과 OTT 서비스가 잘 작동해 여유로운 시간을 보낼 수 있었습니다. 조식서비스도 있어서 비즈니스 출장자에게는 매우 적합하고, 전체적으로 세심하게 관리된 느낌이 들었고, 가격 대비 만족도가 높아 다음에도 꼭 재방문하고 싶은 숙소입니다.",4,1개월 전
y_7_003,전주 투썸스테이-서신점,유쾌하고깔끔한해운대,"전주 서신동 투썸스테이 호텔 객실은 매우 깨끗했고 침대도 포근하고 너무 편안해서 숙면을 취할 수 있었습니다.. 특히 욕실 어메니티가 잘 갖춰져 있어서 별도로 준비할 필요가 없었던 점이 마음에 들었어요... 직원분들도 친절하게 응대해주셔서 체크인부터 체크아웃까지 불편함 없이 이용할 수 있었습니다.. 조식은 이용하지 못했지만, 다음번에 방문하게 된다면 꼭 이용해보고 싶어요... 전반적으로 가성비 좋고 만족스러운 숙소였습니다..^^@@//^^@@////",5,1개월 전
y_7_004,전주 투썸스테이-서신점,nicemichael,"20년째 출장중 입니다 ~~새벽 2시에 바퀴벌레 있었습니다. 하여 변기에 안내해드렸습니다 ~~나머지는 괜찮습니다 1. 주차시설 주차장 충분 합니다. SUV 차량 주차 걱정 없습니다 2. 친절 서비스 친철 합니다 3. 청결 및 기타시설 수압 잘 나오고, 뜨거운물 잘 나옵니다 냄새 없고, 깨끗합니다 욕조 있습니다 넷플릭스 되고, 공기 청정기 됩니다 대형TV 있습니다. 밤에 잘때 모기가 없습니다 침대 깨끗하고, 이불 깨끗 합니다. 배개 4개 있습니다. 일반 숙박시설 가서 침대에 누우면 간지러운데 여기는 그렇지 않습니다. 바퀴벌레 빼고는 위생이 청결된 느낌 입니다. 4. 주위 먹거리 많이 있습니다. 70m 근처에 롯데 백화점 있습니다 편의점 있습니다 5. 운동 및 산책 바로앞에 ""전주천 생태공원"" 있습니다 댓글에 숙박룸에서 ""뷰""멋있다고 하는데 거짓말 입니다. 믿지 마세요^^ 6. 노트북 사용 가능합니다 콘센트 잘되어 있습니다 커피포트 있습니다 생수 2개 있습니다 7. 방음,소음 창문 닫으면 차소리 조금 납니다 창문 열면 차소리 소음 때문에 잠 못잡니다. 바로 앞에 도로 있고, 건너편에 ""전주천 생태공원"" 있습니다 8. 조식 무료 조식 있습니다. 추가 하면 유료조식 있고, 원하는 시간에 룸에 배달 해줍니다",3,8일 전
y_7_005,전주 투썸스테이-서신점,에욥,여러 지방으로 출장을 다니는 업무의 특성상 여러 도시의 다양한 숙소를 많이 방문해보니 여기숙소는 괜찮은 숙소 인것 같네요. 우선 청결 상태가 마음에 드는게 청소를 신경써서 하시는 것 아주 좋습니다. 자주 일어서서 일하는 특성상 침대 컨디션도 중요한데 침대 컨디션도 아주 흡족하게 사용하였습니다. 욕실도 청소상태가 깨끗하게 해놓으셨고 수도 수압도 잘나오니 정말 마음에드네요. 그리고 온수도 마음에들정도로 잘나옵니다. 안내실에 계시는 분들도 친절하셔서 이 숙소에 숙박을 하셔도 좋으실겁니다.,4,1일 전
y_7_006,전주 투썸스테이-서신점,일방적인배척,숙소가 깨끗하고 딱 필요한 것만 잘 정돈돼 있어요 에어드레서가 있어서 좋았구요 화장실도 깨끗했어요 직원분도 친절하시고 조용하고 좋네요. 전주 오면 여기 묵고갈께요,5,4개월 전
y_7_007,전주 투썸스테이-서신점,소리보미,오늘은 경남양산에서 오전일과를 마치고 오후엔 전주로 이동하여 내일부터 출장일과를 해야됩니다. 요즘 날씨가 좋지않아 11월29일인데도 눈이 많이와서 곳곳에 눈사태며 눈길교통사고가 빈번햐게 발생했다. 오늘도 어김없이 여기어때 어플을 이용해서 가성비높은 모텔을 검색해 보았다. 너무 비싸거나 너무 싼 업소는 패스하고 중간정도에서 약간상위가격으로 검색해보니 전주서신동의 투썸스테이모텔이 좋아보였다.예약을 마치고 익실해보니 리모델링했는지 아니면 신축건물인 깨끗하다. 지하1층에는 조식코너도 설치했다하니 여러분들도 이용해보세요.,4,7개월 전
y_7_008,전주 투썸스테이-서신점,여기어때고객님,"객실이 너무 깨끗하고 좋습니다!! 침대도 너무 편하고 수면가운도 길어서 입고있기도 너무 편합니다. 주차장도 많이 넓고 주차공간도 커서 너무 주차하기 편합니다! 최고의 서비스라고 생각합니다. 많은 OTT서비스를 제공해주시는 것도 좋고 티비도 커서 아주 좋습니다👍👍👍아 웨이브랑 넷플, 디즈니 됩니다!! 다음에 방문해서는 더 좋은 사진 많이 찍어서 다른 분들한테 자랑하고 싶어요!!! 좋은 시설과 친절한 서비스에 너무 감사드리고 다음에도 자주 이용하겠습니다!!",5,2개월 전
y_7_009,전주 투썸스테이-서신점,카멜리아힐사라,"진짜 방이 너무 좋았어요. 전반적으로 깔끔하고, 매트리스가 푹신해서 잠잘때 개운하게 잣어요 주변 편의점 밥집 등 도보로 해도 10분가량 이었어서 산책겸 좋았네요~ 주차장도 두 곳으로 나뉘어져 있어 주차하기 용이했어요~ 좀 더 머물렀으면 좋았을텐데 짧아서 너무 아쉬워요. 화장실 수압도 나쁘지않고, 에어드레서가 있어서 옷관리가 잘 돼요ㅎㅎ! 직원님들도 친절하시고 무엇보다 층간소음이 없어서 너무 좋았습니다. 다음에 전주를 가게된다면 재방문할 의사 있습니다. 감사합니다-!",5,8개월 전
y_7_010,전주 투썸스테이-서신점,한국민속촌이야,화장실청소만 더 깔끔하게 됐으면 좋겠오여,4,1개월 전
y_7_011,전주 투썸스테이-서신점,달려라열매,부산에서 여행왔는데 잘 쉬다 갑니다,4,8일 전
y_7_012,전주 투썸스테이-서신점,진두몽,"전주 출장 갈 때마다 매번 이용하고 있어요..! 한 달에도 몇 번씩 방문 중인데 너무 친절하시고, 근방 돌아다니기도 좋고, 전체적으로 요청드리면 친절하게 안내해주셔서 정말 만족하고 있습니다. 주로 연박으로 이용하는데, 청소가 필요할 때 말씀드리면 바로 깔끔하게 해주셔서 너무 편리하고 좋아요. 주변에 상권들도 다양하게 있어서 차를 두고 걸어서 이동하기에도 부담이 없고, 바로 옆에 롯데백화점, 편의점도 있어 급하게 필요한 물건을 사기도 편해요. 뒷쪽 골목에는 맛집과 카페도 많아서 출장 중에 짬내서 쉬어가기에도 좋습니다. 숙소도 조용하고 청결해서 항상 만족하고 있어요. 앞으로도 전주 출장 오면 계속 이용할 예정입니다!",5,2개월 전
y_7_013,전주 투썸스테이-서신점,진두몽,"전주 출장 갈 때마다 매번 이용하고 있어요..! 한 달에도 몇 번씩 방문 중인데 너무 친절하시고, 근방 돌아다니기도 좋고, 전체적으로 요청드리면 친절하게 안내해주셔서 정말 만족하고 있습니다. 주로 연박으로 이용하는데, 청소가 필요할 때 말씀드리면 바로 깔끔하게 해주셔서 너무 편리하고 좋아요. 주변에 상권들도 다양하게 있어서 차를 두고 걸어서 이동하기에도 부담이 없고, 바로 옆에 롯데백화점, 편의점도 있어 급하게 필요한 물건을 사기도 편해요. 뒷쪽 골목에는 맛집과 카페도 많아서 출장 중에 짬내서 쉬어가기에도 좋습니다. 숙소도 조용하고 청결해서 항상 만족하고 있어요. 앞으로도 전주 출장 오면 계속 이용할 예정입니다!",5,2개월 전
y_7_014,전주 투썸스테이-서신점,아이셔마싯쪙,"전주갈때 투썸스테이애서 자주 숙박을합니다 ㅎㅎ 늘 청결과 수건상태, 이불청결도 등등 너무 마음에 듭니다..! 하지만 항상 아쉬운점은 수압이 약하다는 점인데요ㅠ 이번에 머물렀던 객실이 유난히 슈압이 약한느낌이라 화장실 물도 잘 안내려가는 느낌... 안내려 갈까봐 무서워서 화장실을 편하게 이용을 못했어요 ㅠㅠ 수압을 조그만 개선이 되었으몀 즇겠습니다 ! 항상 친절,청결, 편안함 만족합니다!",4,6개월 전
y_7_015,전주 투썸스테이-서신점,경짭,너무 좋았어요 또 가고싶어요 전주에서 갈 곳 찾아 보다가 왔는데 너무 깔끔 하고 방음도 잘 되고 좋았어요 추천 꼬옥 드리고 싶을 정도로 너무 좋았어요 다른 분들도 전주 오시면 꼭 한번 들렀다가 갔으면 좋겠어요 추천 드릴게요,5,9일 전
y_7_016,전주 투썸스테이-서신점,척박한병인,생각보다 깔금했습니다,4,1개월 전
y_7_017,전주 투썸스테이-서신점,고결한홍삼,친절하시고 월풀도 조식도 다 좋았습니다 다만 수압이 따뜻한 물에서 좀 약해서 쬐끔 아쉬웠어요,5,4일 전
y_7_018,전주 투썸스테이-서신점,칵툭퉤,전주동물원 가는 김에 예약했는데 너무 좋았어요 객실상태든 넷플이든 다 너무 좋았고 근처에 편의점도 있어서 왔다갔다 잘 한 거 같아요 대학교 근처라서 술집도 많고 놀거리도 많도라고요 저희는 스텝온이라는 곳에 들려서 땀 엄청 흘리고 바로 차 타고 5분 걸려서 숙소와서 바로 샤워했어요 너무 좋았어요 인근에 뭐 시켜먹을 것도 많고 앞에 천?이 있어서 밤에 잠깐 소회시킬겸 산책 나가기도 좋았어요 드라이기 바람 세서 좋았고 고데기도 있다보니까 아침에 준비하는 게 수월했어요 감사합니다 번창하세요,4,9개월 전
y_7_019,전주 투썸스테이-서신점,여기어때고객님,"객실이 너무 깨끗하고 좋습니다!! 침대도 너무 편하고 수면가운도 길어서 입고있기도 너무 편합니다. 주차장도 많이 넓고 주차공간도 커서 너무 주차하기 편합니다! 최고의 서비스라고 생각합니다. 많은 OTT서비스를 제공해주시는 것도 좋고 티비도 커서 아주 좋습니다👍👍👍아 웨이브랑 넷플, 디즈니 됩니다!! 다음에 방문해서는 더 좋은 사진 많이 찍어서 다른 분들한테 자랑하고 싶어요!!! 좋은 시설과 친절한 서비스에 너무 감사드리고 다음에도 자주 이용하겠습니다!!",5,10개월 전
y_7_020,전주 투썸스테이-서신점,여기어때고객님,"객실이 너무 깨끗하고 좋습니다!! 침대도 너무 편하고 수면가운도 길어서 입고있기도 너무 편합니다. 주차장도 많이 넓고 주차공간도 커서 너무 주차하기 편합니다! 최고의 서비스라고 생각합니다. 많은 OTT서비스를 제공해주시는 것도 좋고 티비도 커서 아주 좋습니다👍👍👍아 웨이브랑 넷플, 디즈니 됩니다!! 다음에 방문해서는 더 좋은 사진 많이 찍어서 다른 분들한테 자랑하고 싶어요!!! 좋은 시설과 친절한 서비스에 너무 감사드리고 다음에도 자주 이용하겠습니다!!",5,4개월 전
y_7_021,전주 투썸스테이-서신점,여기어때고객님,"객실이 너무 깨끗하고 좋습니다!! 침대도 너무 편하고 수면가운도 길어서 입고있기도 너무 편합니다. 주차장도 많이 넓고 주차공간도 커서 너무 주차하기 편합니다! 최고의 서비스라고 생각합니다. 많은 OTT서비스를 제공해주시는 것도 좋고 티비도 커서 아주 좋습니다👍👍👍아 웨이브랑 넷플, 디즈니 됩니다!! 다음에 방문해서는 더 좋은 사진 많이 찍어서 다른 분들한테 자랑하고 싶어요!!! 좋은 시설과 친절한 서비스에 너무 감사드리고 다음에도 자주 이용하겠습니다!!",5,9개월 전
y_7_022,전주 투썸스테이-서신점,토마토팽수,쉴때마다 오는곳인데 깨끗하고 편안해요 ㅎㅎ,5,11일 전
y_7_023,전주 투썸스테이-서신점,가득가득한우주보안관,평소에 정말 만족스웠는데 이번엔 조금 아쉬웠네요. 수십번 머물럿는데 같은 가격으로요. 평소 받던 방보다 9호방을 주셧는데 화장실이 좁아서 휴지걸이도 뒤에 붙어있고 샤워호스도 조금은 불편하게 붙어있었어요. 만약 방이 여기밖에 없다면 어쩔수 없지만 분명 많이 있었던 것 같은데 아쉬웠습니다. 그래도 방 내부 분위기도 매우 좋고 깔끔한 포근한 느낌이라 이용하는 동안에는 좋은 점이 많았습니다. 앞으로도 자주 야용하겠습니자. 지금처엄 해누세여 투썸스테니 서신점 화이팅,5,9개월 전
