id,name,review_content,rating,write_date
yeogi_accom_100_091,전주 비지니스 호텔 궁,제가 가본 숙소중에 제일 깔끔하고 좋았습니다 외관부터 이뻐서 맘에 쏙 들었습니다 들어가니 사장님도 친절하여서 좋았습니다 방에 들어가보니 침대도 깔끔하게 정리가 잘 되어있었고 베개나 이불에서 냄새가 나지않았습니다 화장실도 깔끔하게 정리가 되어있어 좋았습니다 제가 또 그 지역을가게된다면 이 곳을 다시 방문할 의사가 있습니다 항상 숙소를 가게된다면 다 좋지만은 한두가지씩 아쉬운 점이 다 있었지만 여기는 아쉬점없이 편하게 잘 쉬다와 만족스럽게 숙소를 정한 것같습니다,5,2개월 전
yeogi_accom_100_092,전주 비지니스 호텔 궁,제가 가본 숙소중에 제일 깔끔하고 좋았습니다 외관부터 이뻐서 맘에 쏙 들었습니다 들어가니 사장님도 친절하여서 좋았습니다 방에 들어가보니 침대도 깔끔하게 정리가 잘 되어있었고 베개나 이불에서 냄새가 나지않았습니다 화장실도 깔끔하게 정리가 되어있어 좋았습니다 제가 또 그 지역을가게된다면 이 곳을 다시 방문할 의사가 있습니다 항상 숙소를 가게된다면 다 좋지만은 한두가지씩 아쉬운 점이 다 있었지만 여기는 아쉬점없이 편하게 잘 쉬다와 만족스럽게 숙소를 정한 것같습니다,5,2개월 전
yeogi_accom_100_093,전주 비지니스 호텔 궁,우선 가장 인상 깊었던 점은 카운터 보시는 분이 굉장히 친절하셨습니다 그래서 1차적으로 기분이 좋았구요 방에 들어 갔는데 바닥이 따뜻해서 2차적으로 기분이 좋았습니다 또 청결하기도 하구요 욕실에 샴푸랑 바디워시도 냄새가 좋았습니다 티비가 일반 모텔보다는 큰 거 같았습니다 방 크기랑 인테리어는 전체적으로 심플합니다 아 개인적으로 조명이 좋더라구요 주차에 관해서 말하자면 주차장 크기는 평범하다고 보시면 됩니다 다음에 또 재방문 의사 있습니다 좋네요,5,2개월 전
yeogi_accom_100_094,전주 비지니스 호텔 궁,이틀 연박으로 이용했는데 연박 시 추가요금이 없어서 좋았습니다가격도 주말인 점에 비해 저렴했어요1층에 간식도 있어서 이용 할 수 있게 되어있습니다주차장은 주차 할 수 있는 공간이 많지 않았는데건너편 호텔 주차장에 주차하라고 하시더라구요그래서 주차 이용에도 불편함이 없었습니다방도 따뜻하게 보일러 들어오는 것 같고 전기장판도 있어요근데 침대는 용수철이 좀 잘 느껴져요그래도 화장실도 넓고 일회용품도 다 줍니다도 전부 이용 가능해서 아이디없어도 잘 봤어요,5,4개월 전
yeogi_accom_100_095,전주 비지니스 호텔 궁,눈이 너무 많이 오는데 약속 시간까지 시간이 많이 남아서 좀 쉴 겸 당일 예약했습니다 우선 가격 대비 다른 곳들과 비교했을 때 긴 이용시간이라서 좋았고 버스터미널이랑 가까운 위치여서 접근성이 좋았습니다 객실 내부 인테리어는 적당히 깔끔하고 평범한 느낌이고 안마의자 있는 곳으로 배정해주셔서 이용했습니다 화장실은 객실이랑 분리되어 있었어요 근데 휴지 등 물품이 다 떨어져있어서  청소하실 때 확인하시고 잘 채워놔주셨으면 합니다 ㅠㅠ 무료로 볼 수 있고 로그인이 되어있어서 특별히 본인 계정 사용하지 않아도 편하게 볼 수 았었습니다 잠깐이었지만 편안하게 잘 있다 갑니다 ,4,5개월 전
yeogi_accom_100_096,전주 비지니스 호텔 궁,충분한 어메니티 만족했습니다 그리고 안락한 매트리스까지 편안했습니다환절기임에도 난방이 잘 되어 있어 쾌적하게 쉬었고요객실 청소 상태 또한 만족했는데요 머리카락 하나 보이지 않을 정도로 청결했습니다적당한 크기와 높이에 설치된 는 를 즐기기에는 충분하였습니다그런데 객실 내에서 입을 수 있는 잠옷 가운은 요청을 해야 주시는 것 같아 약간 불편했습니다 객실 내에 비치를 해주셨으면 합니다 아무튼 가성비 있게 잘 이용한 것 같아 만족했고요 다음에도 기회가 된다면 또 이용하도록 하겠습니다,4,6개월 전
yeogi_accom_100_097,전주 비지니스 호텔 궁,주변에 식당들이 많이 있어요1 모텔주차장 입구로 들어가니 주차장은 일단 넓었고 주차공 간도 여유있었어요2사장님이 키와 세면용품챙겨주시면서 친절하게 응대해주 셨어요3 객실과 욕실은 생각보다 넓었고 깔끔한편이었고 방음상태 는 좋아서 조용히 쉴수있었어요 욕실에 물수압은 쎄서 좋았 어요4침구류는 깨끗하고 정리가 잘 되어있었고 냄새도 많이 안 났어요5 전체적으로 봤을때 점수를 매기자면 100점만점중 95점정 도 주고싶어요드라이기 티브이 0스타일러 핸드폰충전기 0컴퓨터 ,5,4개월 전
yeogi_accom_100_098,전주 비지니스 호텔 궁,여행 때 제일 많이 고민하고 결정하는데 오래걸리는 게 바로 숙소죠숙소 과정 역시 마찬가지로 순탄치 않았어요고려해야 할 요소가 그만큼 많았기 때문인데요여러 측면에서 제 기준에 잘 부합하는 데가 바로 궁호텔이었습니다전주에서 이렇게 가성비좋은 숙소가있다는걸 여기어때를통해서 발견해서 갔는데 너무만족하네요 요금이 싸다고해서 상태가 안좋은게 아니라 시설도 좋아서 다른곳에 비해 추천하고싶어요덕분에 연박하고나서 또한번 들려서 연박하고가네요매우만족합니다,5,2개월 전
yeogi_accom_100_099,전주 비지니스 호텔 궁,모텔 건물이 2개입니다 건너편 건물도 같이 운영하시는 건물이라는데 다른 사람들의 리뷰를 보면 다른 건물로 방을 잡아주면 마치 꽝에 걸린 것처럼 얘기하더라고요 건너편 건물이 더 낡고 방도 여러모로 안좋다고 뭐라뭐라 하던데 그런 리뷰들을 먼저 보고 방문해서 그런지 기대를 안하고 가서 생각보다는 방이 쾌적하고 나쁘지 않았어요 방이 되게 넓은게 제일 좋았고 침대도 삐그덕 소리 이런거 안나고 튼튼하고 좋았어요 특이한점은 화장실이랑 샤워실이 분리되어있다는거 수압도 좋고 따뜻한 물도 잘 나와서 좋았어요 한가지 아쉬운점은 가운같은게 없어서 잘때 딱히 입을게 없어서 아쉬웠네요 그래도 가격 생각하면 그정도는 감안할만합니다 속옷만 입고자도 별로 안추울정도로 방이 따뜻하긴합니다,5,2개월 전
yeogi_accom_101_101,글로스터호텔 전주,위치 조금 애매한 위치 한옥마을도 15분정도 거리고 전주역도 15분 정도 거리여서 다 애매했지만 한옥마을 주변에 호텔이 없어서 이용했어요  주차 지상 지하 주차장이 다 있습니다 하지만 이용하지 않았습니다 객실상태 침구도 깨끗했고 머리카락 하나 보이지 않아서 좋았어요 수건 또한 괜찮았습니다 샴푸 트리트먼트 바디워시는 무난 했지만 좋은건 아니였어요 ㅎ드라이기 상태는 나쁘지 않았는데요 저렇게 세면대에 아무 포장 없이 있는건 너무 성의없는 느낌 세수 하다 보면 물이 다 튀길텐데  좀 모텔 느낌 처럼 있어서 조금 실망했어요조식 먹지 않았지만 오픈 저녁 바베큐 행사를 하던데 네이버리뷰를 찾아보니 종류도 많지 않고 29000원 정도에 가격은 아니다 라는 평이 많아서 패스 했습니다주변 1층에 편의점이 있어서 너무 편했고 주변에는 1-2분 거리에 큰 편의점도 있어서 너무 편리성이 좋았습니다 전체적인느낌 생각보다 외관상 호텔은 고급져보여서 오 했어요 겉모습과 달리 속은 조금 아쉬운느낌이 있었어요 여러모로 만족은 했지만 전체적으로는 쏘쏘 10만원대 이상이면 안올거같고 10만원대 아래의 가격이라하면 올거같아요 편리성이 좋다는게 제일 장점이지만 편의점만 있고 먹을곳은 없어요 그리고 조금더 아쉬운점은 체크인할때 줄을 섰는데 순서대로 온사람이 먼저인데 바로 뒤에 있는사람부터 체크인 해주는게 좀 짜증이 났어요ㅜ,4,8일 전
